id_palabra,"Palabra","id_cronista","id_texto","cita","pagina","lengua","propuesta","nota","enlace"
290001,"adoratorio/adoratorios","29","T290001","Pues abido y repartido el thesoro que en <i>Cajamarca</i> avido entre toda su gente y caballeros en la toma y muerte de <i>Atabalipa</i> fueronse el <i>camino real</i> hazia <i>Jauja</i> porque Diego de Agüero que fue a ver la tierra escrevio del thesoro que en Jausa [sic por <i>Jauja</i>] avia visto en el <b>adoratorio</b> de los <i>yndios</i> y llegado allí el governador [Francisco Pizarro] hizo sus partes de todo lo que allo y tomo y quiso fundar alli un <i>pueblo</i>...","15v","","","","sin datos"
290001,"adoratorio/adoratorios","29","T290002","Llegaron los christianos a <i>Cajamarca</i> y pusieronse en el <i>tanbo real</i> y su artilleria en un asiento alto y <b>adoratorio</b>. Era Candia capitan del artilleria y el <i>Atabalipa</i> estava un poco mas adelante en otras <i>casas</i> con toda su gente","49r","","","","sin datos"
290001,"adoratorio/adoratorios","29","T290003","asimesmo del <i>ganado del sol</i> y de las <i>guacas</i> y <b>adoratorios</b> que en todas las <i>provinçias</i> abia y lo aclaren todo y al repartimiento de las tierras ansi las que eran del <i>señor ynga</i> como de las del sol, de los <i>yndios</i> que en cada <i>provinçia</i> ay el dia de oy para tasarlos lo que podran trebotar [sic por tributar] a sus encomenderos ... y restaurar a los <i>señores</i> en sus <i>señorios</i> y tornarles sus patrimonios porque ay algunos desposeidos de ellos ... como se sepa la cantidad de los <i>yndios</i> que obiere se les señalen tierras que puedan labrar asta diez anegas y ocho de tierras cada <i>yndio</i> con su <i>mujer</i> y ijos.","50v","","","","sin datos"
290001,"adoratorio/adoratorios","29","T290004","y que [el marqués de Cañete] no se con-fiase a ninguno de su casa como fuesen de los que en el <i>Peru</i>avian andado y avisase a todos sus criados los que avia traydo de España que tubiesen secreto y que diesemos horden en otra cosa que conbenia al serviçio de Su Magestad y al suyo y sacasemos çiertos <i>entierros</i> y <b>adoratorios</b> donde avian gran suma de dineros y piedras de gran valor y pusiesemos a Su Magestad por terçero y me diese audiençia personalmente fuera de juiçio lo qual me denego y no quiso dexar entrar en su camara","38r","","","","sin datos"
290001,"adoratorio/adoratorios","29","T290005","y como no tubiesen - creençia ninguna ni creyesen en dios por no aver quienes los dotrinase adoravan al sol y a la luna y ordenole ofreçiesen al sol oro y plata y ganados de las <i>obejas</i> que en sus tierras avia y como el demonio anduviese entre ellos con sus apariençias y enduzimientos zegoles el entendimieno y de hedad en hedad los fue engañando y diziendo matasen niños y <i>mugeres</i> y las enterrasen con los muertos y sacrificasen al sol niños y bertiesen la sangre dellos por los <b>adoratorios</b> que hiçieron para el sol ","43v-44r","","","","sin datos"
290001,"adoratorio/adoratorios","29","T290006","y lo de las <i>guacas</i> y <b>adoratorios</b> los que los tubiesen a cargo tubiesen cuidado de todo los que les cupiese y pertenesçiese tubiesen cuydado de lo cobrar y guardar asi de los <i>ganados</i> como de las lanas y las comidas y de la <i>ropa</i> y las tierras que tubiesen en tierras calientes que las senbrasen de algodon y de <i>coca</i> de aquella yerba quellos comen ques mui preçiada entre ellos y el <i>agi</i> que estas tres cosas y la carne seca, quatro, hera el mejor rescate quellos tenian ","46r","","","","sin datos"
290001,"adoratorio/adoratorios","29","T290007","el <i>Guainacava</i> yba ofreçiendo a las <i>guacas</i> y <b>adoratorios</b> oro y plata y sacrefiçios y otras cosas y llegado a la <i>provinçia</i> de <i>Gu[a]ylas</i> yba dando a los <i>señores</i> dellas <i>ropas</i> de las del <i>Cuzco</i> y haçiendo merçedes a todos y a los <i>governadores</i> sacrificasen y ofreçiesen al sol y tobiesen toda raçon y justiçia como arriba va dicho","47r","","","","sin datos"
290002,"agi","29","T290008","y lo de las <i>guacas</i> y <i>adoratorios</i> los que los tubiesen a cargo tubiesen cuidado de todo los que les cupiese y pertenesçiese tubiesen cuydado de lo cobrar y guardar asi de los <i>ganados</i> como de las lanas y las comidas y de la <i>ropa</i> y las tierras que tubiesen en tierras calientes que las senbrasen de algodon y de <i>coca</i> de aquella yerba quellos comen ques mui preçiada entre ellos y el <b>agi</b> que estas tres cosas y la carne seca, quatro, hera el mejor rescate quellos tenian ","46r","","","","sin datos"
290003,"aksu","29","T290009","Dio a todos los <i>señores</i> que por las <i>provinçias</i> estavan que a los pobres y guerfanos se sustentasen y diesen de bestir y de comer quando salian al llano a comer o almorçar o a zenar y que alli les diesen de comer y un bestido [sic <i>unku</i> masculino; <b>aksu</b> femenino] de tiempo a tiempo y mandoles que lo que estubiese en aquellos <i>depositos</i> si la tal <i>provinçia</i> tubiese neçesidad se diese a los que mas neçesidad tubiesen y si acaso su gente de guerra pasase por alli les diesen de comer de aquello alli depositado y de bestir de aquella <i>ropa</i> y el año benidero lo tornasen a poner tiniento <i>quenta y raçon</i> a quien se dava para que lo pagasen y lo pusiesen alli. ","45v","","","","sin datos"
290004,"Amancay/Auancay","29","T290010","Y como supo el Adelantado [Almagro] de la venida de Alonso de Alvarado, enviole unas cartas y a rogarle se fuese al <i>Cuzco</i> con su gente para que juntos se vernian a la cibdad de Los Reyes a ver con el governador [Francisco Pizarro] y nunca lo quiso hazer sino mando guardar la puente de <b>Auancay</b> y pussose en arma.","21v","","","","sin datos"
